Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ալէկոծեմ	եցի	va.	to beat to and fro; to agitate violently, to trouble.										
Ալէկոծիմ	եցայ	vn.	to float, to chafe, to grow troubled or agitated.										
Ալէկոծութիւն	ութեան	s.	agitation of the sea, storm, tempest; trouble, agitation.										
Ալէկոծումն	ման	s.	cf. Ալէկոծութիւն.										
Ալէտանջ		adj.	floating, swelling, rough.										
Ալի	լւոյ, լոյ	s.	axle; millstone; pulley; phantom.										
Ալիասաստ		adj.	having large waves, swelling, stormy; subject to tempests.										
Ալիւր	ալեր, ալերբ	s.	meal, flour; ցանել զ— ի վերայ, to powder or whiten with flour.										
Ալիք	ալեաց	s. pl.	wave, billow, surge, swell of the sea; gray hairs, old age; ծաղկիլ ալեաց, խոնարհիլ յալիս, to grow gray-haired, to get old; ալիս յարուցանել, to agitate the waves; հերձանել՝ պատառել գալիս, to cleave the waves.										
Ալոճ	ից	s.	a small medlar.										
Ալոճենի		s.	small medlar-tree.										
Ալոջ	ի, աց	s. zool.	she-kid.										
Ալուց	ալցի	s. adj.	hollow, cavity, inside; hollow, interior, deep.										
Ալփաբետք		s. pl.	alphabet.										
Ալփավիտք			cf. Ալփաբետք.										
Ալք	ալուց, ալից	s. pl.	cf. Ալուց.										
Ալքիմիա		s.	alchemy.										
Ախ	ի, ից	s.	cf. Աղխ.	int.	Ah ! Alas !								
Ախազ		s.	ermine.										
Ախախիա		s.	acacia.										
Ախամախ		adj.	foolish, gross-headed.										
Ախատրոյզ		adj.	highwayman; indocile, ferocious.										
Ախաւեղագէս		s.	hanging cornice.										
Ախերակ		adj.	vain;	adv.	յախերկան, cf. Յախերական; յախերկան, cf. Յախերկան.								
Ախժինք	Ախժիք	s.	dregs.										
Ախճապակ	ի, աց	s.	cf. Յախճապակ.										
Ախմար	ի, աց	adj.	cf. Տխմար.										
Ախմարաբար		adv.	cf. Տխմարաբար.										
Ախմարագոյն	գունի, ից	adj.	very ignorant.										
Ախմարութիւն	ութեան	s.	cf. Տխմարութիւն.										
Ախոյան	ի, ից, աց	s.	antagonist, adversary, opponent; rival, competitor; champion, hero; triumpher.										
Ախոյեան	ենի, ից	s.	cf. Ախոյան.										
Ախոյանաբար		adv.	as an antagonist; valiantly, heroically.										
Ախոնդանոտ		adj.	hypochondriac.										
Ախոնդանք	դանաց	s. pl.	cf. Ախոնդիք.										
Ախոնդիք	դեաց, դաց	s. pl.	hypochondria; entrails, intestines, pluck.										
Ախոռ	ոյ	s.	stall, stable.										
Ախոռապան	աց	s.	groom.										
Ախոռապետ	աց	s.	equerry; groom.										
Ախորժ		adj.	savoury; sweet, agreeable, delicious; — բանք, agreeable words; — վայրք, enchanting places;	adv.	— յօժարութեամբ, with great pleasure, willingly.								
Ախորժք	ից	s. pl.	appetite; desire, wish; savour, taste; satisfaction, pleasure; ըստ մտացն ախորժից, ըստ ախորժից իմն, capriciously.										
Ախորժաբար		adv.	with appetite; with pleasure, readily, willingly.										
Ախորժաբեր	աց	adj.	appetising, attractive.										
Ախորժալից		adj.	full of pleasure, agreeable.										
Ախորժալուր		adj.	who grants; accords, listens willingly; pleasurable to the ear, gratifying.										
Ախորժակ	աց	s.	taste; appetite; affection, will, inclination, willingness; passion, sentiment; ունել —, to be hungry; to have a taste; չունել — իմիք, to have a taste for nothing; պակասութիւն ախորժակի, want of appetite; ախորժակաւ ուտել, to eat with appetite; շարժել՝ բանալ զախորժակ, to excite the appetite; բառնալ զախորժակ, to take away the appetite; ընտիր՝ կիրթ —, անկիրթ —, good, bad taste; ըստ իմոյս ախորժակի, according to my taste.										
Ախորժական	ի, աց	adj.	pleasing, agreeable, sweet, amiable, delightful.										
Ախորժահամ		adj.	pleasing to the taste, savoury, sweet; good to eat, savoury.										
Ախորժաճաշակ		adj.	cf. Ախորժահամ.										
Ախորժանք	նաց	s. pl.	appetite; desire, pleasure; ախորժանօք, with appetite; with pleasure.										
Ախորժելի	լւոյ, լեաց	adj.	desirable, pleasing, agreeable.										
Ախորժեմ	եցի	va.	to taste of, to relish, to like; to love, to take pleasure in; to desire, to aim at; ոչ —, to take a disgust for or to; Թէ ախորժէք, if you please.										
Ախորժեցուցանեմ	ուցի	va.	to inspire gratification, taste, pleasure.										
Ախորժիմ	եցայ	vn.	cf. Ախորժեմ.										
Ախորժութիւն	ութեան	s.	pleasure, taste.										
Ախտ	ից	s.	illness, disease, indisposition; affection, passion; vice, bad habit; menses; seed of man; — ցաւոց՝ դառնութեան, calamity, plague, disaster, any thing troublesome; — արտասուաց, tears; — քնոյ, sleep; — մահու՝ մահացու, mortal malady; զ—ս մահու ջերանիլ, to be seriously, mortally ill; — մարդահաճութեան, adulation, flattery; ապաս ունել ախտի, մեծարել զախտ, to give one's self up to vice, pleasure.										
Ախտաբան	ից	s.	pathologist.										
Ախտաբանական	ի, աց	adj.	pathological.										
Ախտաբանութիւն	ութեան	s.	pathology.										
Ախտաբար		adv.	viciously, passionately.										
Ախտաբեկ		adj.	crushed, oppressed by illness.										
Ախտաբեր		adj.	morbific, engendering diseases or passions.										
Ախտաբոյժ	բուժի, ժից	s. adj.	physician; that cures diseases, restorative.										
Ախտագնիմ	եցայ	vn.	to be ill, indisposed, sick.										
Ախտաժետ	ի, աց	adj.	sick, ill, of a bad constitution or temperament; unhealthy.										
Ախտաժէտութիւն	ութեան	adj.	bad temperature, indisposition, languor, sickness, cacochymia.										
Ախտալից		adj.	full of diseases, ill; vicious, bad, passionate.										
Ախտակիր	կրի, րաց	adj.	subject to diseases or passions.										
Ախտակից	կցի, կցաց	adj.	that has the same sickness; compassionate; — լինել ումեք, to have compassion, pity on some one, to compassionate.										
Ախտակրեմ	եցի	vn.	to be ill, to suffer.										
Ախտակրութիւն	ութեան	s.	illness, sickness, distemper; suffering.										
Ախտակցաբար		adv.	with compassion, pity.										
Ախտակցեմ	եցի	vn.	to have compassion, to compassionate, to pity.										
Ախտակցիմ	եցայ	vn.	cf. Ախտակցեմ.										
Ախտակցութիւն	ութեան	s.	compassion, pity; vice, passion.										
Ախտահալած	ից	adj.	that drives away or cures diseases.										
Ախտամոլ	ից	adj.	vicious; lascivious.										
Ախտամոլութիւն	ութեան	s.	concupiscence, luxury.										
Ախտանամ	ացայ	vn.	to be sick or ill; to have bad habits, to be vicious.										
Ախտասէր		adj.	that loves vices, vicious, devoted to passions.										
Ախտասիրութիւն	ութեան	s.	sensuality, love of vice, dishonest desires.										
Ախտասպան	ից, աց	adj.	that mortifies or controls his passions.										
Ախտարակք	աց	s. pl.	lot, disposition, nature, fate;	adj.	natural, physical;	adv.	յախտարակաց, physically, naturally.						
Ախտարար		adj.	morbific.										
Ախտարծարծ		adj.	that excites illness, bad passions; — կերպարան, voluptuous image.										
Ախտարմոլ	Ախտամախ	s.	astrologer, one who professes judiciary astrology, magician, sorcerer.										
Ախտարք	րաց	s. pl.	horoscope, nativity, stars.										
Ախտացեալ		adj.	ill, unwell.										
Ախտացոյց		adj.	symptomatic.										
Ախտացուցանեմ	ուցի	va.	to make one ill.										
Ախտաւոր	աց	adj.	vicious, passionate; ill, infirm; morbid.										
Ախտաւորութիւն	ութեան	s.	illness, malady; bad disposition, vice, passion.										
Ած	ածք	s.	shooting, slip, cutting.										
Ածական	ի, աց	adj.	adjective.										
Ածականաբար		adv.	adjectively.										
Ածանցական	ի, աց	adj.	derivative.										
Ածանցեմ	եցի	va.	to derive.										
Ածանցիմ	եցայ	vn.	to be derived from, to come from.										
